item;period;actual;currency
Revenue;2026-01-01;14242.41;SEK
Revenue;2026-02-01;13940.38;SEK
Revenue;2026-03-01;14813.53;SEK
Revenue;2026-04-01;13803.47;SEK
Revenue;2026-05-01;14612.65;SEK
Revenue;2026-06-01;14315.49;SEK
Revenue;2026-07-01;13778.27;SEK
Revenue;2026-08-01;14562.98;SEK
Revenue;2026-09-01;13742.47;SEK
Subscription Revenue (NET);2026-01-01;20263.56;SEK
Subscription Revenue (NET);2026-02-01;20978.30;SEK
Subscription Revenue (NET);2026-03-01;22549.60;SEK
Subscription Revenue (NET);2026-04-01;25178.06;SEK
Subscription Revenue (NET);2026-05-01;27750.89;SEK
Subscription Revenue (NET);2026-06-01;27115.43;SEK
Subscription Revenue (NET);2026-07-01;28899.25;SEK
Subscription Revenue (NET);2026-08-01;32170.05;SEK
Subscription Revenue (NET);2026-09-01;35172.71;SEK
Professional Services Revenue;2026-01-01;595.86;SEK
Professional Services Revenue;2026-02-01;631.43;SEK
Professional Services Revenue;2026-03-01;724.61;SEK
Professional Services Revenue;2026-04-01;694.44;SEK
Professional Services Revenue;2026-05-01;805.04;SEK
Professional Services Revenue;2026-06-01;800.08;SEK
Professional Services Revenue;2026-07-01;827.12;SEK
Professional Services Revenue;2026-08-01;873.84;SEK
Professional Services Revenue;2026-09-01;942.63;SEK
Other Operating Revenue;2026-01-01;319.15;SEK
Other Operating Revenue;2026-02-01;320.24;SEK
Other Operating Revenue;2026-03-01;360.50;SEK
Other Operating Revenue;2026-04-01;388.89;SEK
Other Operating Revenue;2026-05-01;395.84;SEK
Other Operating Revenue;2026-06-01;429.94;SEK
Other Operating Revenue;2026-07-01;426.39;SEK
Other Operating Revenue;2026-08-01;451.79;SEK
Other Operating Revenue;2026-09-01;484.78;SEK
Intercompany Revenue;2026-01-01;94.25;SEK
Intercompany Revenue;2026-02-01;99.03;SEK
Intercompany Revenue;2026-03-01;104.71;SEK
Intercompany Revenue;2026-04-01;115.93;SEK
Intercompany Revenue;2026-05-01;119.92;SEK
Intercompany Revenue;2026-06-01;125.17;SEK
Intercompany Revenue;2026-07-01;139.77;SEK
Intercompany Revenue;2026-08-01;146.52;SEK
Intercompany Revenue;2026-09-01;146.12;SEK
